CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
15015050,AEROPUERTO SIMÓN BOLÍVAR - AUT [15015050],VEL VIENTO,Velocidad del viento vectorial media mensual,2000-01-01 00:00,m/s,1.93163121922796,Preliminar
15015050,AEROPUERTO SIMÓN BOLÍVAR - AUT [15015050],VEL VIENTO,Velocidad del viento vectorial media mensual,2000-02-01 00:00,m/s,2.11152988363464,Preliminar
15015050,AEROPUERTO SIMÓN BOLÍVAR - AUT [15015050],VEL VIENTO,Velocidad del viento vectorial media mensual,2000-03-01 00:00,m/s,2.45004445708826,Preliminar
15015050,AEROPUERTO SIMÓN BOLÍVAR - AUT [15015050],VEL VIENTO,Velocidad del viento vectorial media mensual,2000-04-01 00:00,m/s,1.9349859677353,Preliminar
15015050,AEROPUERTO SIMÓN BOLÍVAR - AUT [15015050],VEL VIENTO,Velocidad del viento vectorial media mensual,2000-05-01 00:00,m/s,1.11588160753155,Preliminar
15015050,AEROPUERTO SIMÓN BOLÍVAR - AUT [15015050],VEL VIENTO,Velocidad del viento vectorial media mensual,2000-06-01 00:00,m/s,0.907540262429267,Preliminar
15015050,AEROPUERTO SIMÓN BOLÍVAR - AUT [15015050],VEL VIENTO,Velocidad del viento vectorial media mensual,2000-07-01 00:00,m/s,0.858289298566378,Preliminar
15015050,AEROPUERTO SIMÓN BOLÍVAR - AUT [15015050],VEL VIENTO,Velocidad del viento vectorial media mensual,2000-08-01 00:00,m/s,0.93611660983446,Preliminar
15015050,AEROPUERTO SIMÓN BOLÍVAR - AUT [15015050],VEL VIENTO,Velocidad del viento vectorial media mensual,2000-09-01 00:00,m/s,1.12213204619545,Preliminar
15015050,AEROPUERTO SIMÓN BOLÍVAR - AUT [15015050],VEL VIENTO,Velocidad del viento vectorial media mensual,2000-10-01 00:00,m/s,0.787731743253714,Preliminar
15015050,AEROPUERTO SIMÓN BOLÍVAR - AUT [15015050],VEL VIENTO,Velocidad del viento vectorial media mensual,2000-11-01 00:00,m/s,1.01205753575226,Preliminar
15015050,AEROPUERTO SIMÓN BOLÍVAR - AUT [15015050],VEL VIENTO,Velocidad del viento vectorial media mensual,2000-12-01 00:00,m/s,0.950394328010952,Preliminar
15015050,AEROPUERTO SIMÓN BOLÍVAR - AUT [15015050],VEL VIENTO,Velocidad del viento vectorial media mensual,2001-01-01 00:00,m/s,1.57787579922986,Preliminar
15015050,AEROPUERTO SIMÓN BOLÍVAR - AUT [15015050],VEL VIENTO,Velocidad del viento vectorial media mensual,2001-02-01 00:00,m/s,1.98904322806256,Preliminar
15015050,AEROPUERTO SIMÓN BOLÍVAR - AUT [15015050],VEL VIENTO,Velocidad del viento vectorial media mensual,2001-03-01 00:00,m/s,1.76390454025493,Preliminar
